post_id,influencer_id,platform,date,url,caption,reach,likes,comments,shares,saves
POST_0018,INF_029,YouTube,2025-06-19,https://youtube.com/post/18,Check out this amazing product! #HealthKart #Gritzo,440242,24706,2037,749,0
POST_0019,INF_150,YouTube,2025-01-23,https://youtube.com/post/19,Check out this amazing product! #HealthKart #Gritzo,30040,806,55,13,0
POST_0020,INF_072,YouTube,2025-03-17,https://youtube.com/post/20,Check out this amazing product! #HealthKart #MuscleBlaze,290276,7969,166,162,0
POST_0021,INF_126,Twitter,2025-07-14,https://twitter.com/post/21,Check out this amazing product! #HealthKart #Gritzo,336826,12662,802,160,0
POST_0022,INF_134,Facebook,2025-01-29,https://facebook.com/post/22,Check out this amazing product! #HealthKart #HKVitals,949,56,3,0,0
POST_0023,INF_080,Facebook,2025-05-20,https://facebook.com/post/23,Check out this amazing product! #HealthKart #HKVitals,52969,2200,97,55,0
POST_0024,INF_090,Facebook,2025-06-20,https://facebook.com/post/24,Check out this amazing product! #HealthKart #HKVitals,134966,3242,226,135,0
POST_0025,INF_047,Instagram,2025-05-06,https://instagram.com/post/25,Check out this amazing product! #HealthKart #Gritzo,71693,942,85,20,35
POST_0026,INF_127,Twitter,2025-06-15,https://twitter.com/post/26,Check out this amazing product! #HealthKart #Gritzo,10738,53,5,1,0
POST_0027,INF_029,YouTube,2025-03-05,https://youtube.com/post/27,Check out this amazing product! #HealthKart #MuscleBlaze,594030,33051,2822,449,0
POST_0028,INF_143,YouTube,2025-02-12,https://youtube.com/post/28,Check out this amazing product! #HealthKart #Gritzo,553960,16121,1226,634,0
POST_0029,INF_028,Twitter,2025-07-11,https://twitter.com/post/29,Check out this amazing product! #HealthKart #Gritzo,3420,208,18,3,0
POST_0030,INF_114,YouTube,2025-04-18,https://youtube.com/post/30,Check out this amazing product! #HealthKart #HKVitals,312979,5346,275,153,0
POST_0031,INF_027,Twitter,2025-05-12,https://twitter.com/post/31,Check out this amazing product! #HealthKart #Gritzo,27004,1383,64,38,0
POST_0032,INF_122,Instagram,2025-02-05,https://instagram.com/post/32,Check out this amazing product! #HealthKart #MuscleBlaze,292557,7779,692,326,590
POST_0033,INF_144,Facebook,2025-07-12,https://facebook.com/post/33,Check out this amazing product! #HealthKart #Gritzo,35655,1276,90,49,0
POST_0034,INF_115,YouTube,2025-03-14,https://youtube.com/post/34,Check out this amazing product! #HealthKart #HKVitals,287733,8150,337,194,0
POST_0035,INF_069,Facebook,2025-02-05,https://facebook.com/post/35,Check out this amazing product! #HealthKart #HKVitals,23213,475,27,8,0
POST_0036,INF_119,Twitter,2025-05-01,https://twitter.com/post/36,Check out this amazing product! #HealthKart #MuscleBlaze,32724,1443,64,44,0
POST_0037,INF_146,Twitter,2025-04-03,https://twitter.com/post/37,Check out this amazing product! #HealthKart #Gritzo,4067,140,11,6,0
POST_0038,INF_071,Instagram,2025-07-18,https://instagram.com/post/38,Check out this amazing product! #HealthKart #MuscleBlaze,320433,13112,501,282,552
POST_0039,INF_004,Facebook,2025-05-13,https://facebook.com/post/39,Check out this amazing product! #HealthKart #MuscleBlaze,47441,1721,159,60,0
POST_0040,INF_084,Instagram,2025-04-24,https://instagram.com/post/40,Check out this amazing product! #HealthKart #HKVitals,232581,3075,214,46,114
POST_0041,INF_143,YouTube,2025-01-25,https://youtube.com/post/41,Check out this amazing product! #HealthKart #HKVitals,1269234,48927,3539,1852,0
POST_0042,INF_056,Facebook,2025-05-13,https://facebook.com/post/42,Check out this amazing product! #HealthKart #Gritzo,2204,106,2,5,0
POST_0043,INF_023,Instagram,2025-05-15,https://instagram.com/post/43,Check out this amazing product! #HealthKart #MuscleBlaze,1557210,48656,4163,2054,1197
POST_0044,INF_090,Facebook,2025-07-09,https://facebook.com/post/44,Check out this amazing product! #HealthKart #Gritzo,95841,2393,84,44,0
POST_0045,INF_010,YouTube,2025-03-29,https://youtube.com/post/45,Check out this amazing product! #HealthKart #MuscleBlaze,17943,423,29,5,0
POST_0046,INF_071,Instagram,2025-04-30,https://instagram.com/post/46,Check out this amazing product! #HealthKart #MuscleBlaze,190489,8010,696,332,405
POST_0047,INF_068,Instagram,2025-06-26,https://instagram.com/post/47,Check out this amazing product! #HealthKart #Gritzo,118536,1893,185,67,111
POST_0048,INF_059,YouTube,2025-02-25,https://youtube.com/post/48,Check out this amazing product! #HealthKart #Gritzo,244596,10833,780,457,0
POST_0049,INF_045,Instagram,2025-07-06,https://instagram.com/post/49,Check out this amazing product! #HealthKart #Gritzo,185222,13237,1166,169,1006
POST_0050,INF_060,Instagram,2025-02-09,https://instagram.com/post/50,Check out this amazing product! #HealthKart #HKVitals,207065,9340,739,343,416
POST_0051,INF_009,Facebook,2025-07-03,https://facebook.com/post/51,Check out this amazing product! #HealthKart #HKVitals,52509,773,49,32,0
POST_0052,INF_011,Instagram,2025-01-31,https://instagram.com/post/52,Check out this amazing product! #HealthKart #MuscleBlaze,75502,3367,174,126,119
POST_0053,INF_092,Instagram,2025-02-10,https://instagram.com/post/53,Check out this amazing product! #HealthKart #HKVitals,25765,1886,159,79,97
POST_0054,INF_036,YouTube,2025-07-05,https://youtube.com/post/54,Check out this amazing product! #HealthKart #Gritzo,150248,3040,256,104,0
POST_0055,INF_076,YouTube,2025-02-12,https://youtube.com/post/55,Check out this amazing product! #HealthKart #HKVitals,90709,3449,146,110,0
POST_0056,INF_072,YouTube,2025-01-31,https://youtube.com/post/56,Check out this amazing product! #HealthKart #MuscleBlaze,232927,5978,281,206,0
POST_0057,INF_008,Facebook,2025-05-28,https://facebook.com/post/57,Check out this amazing product! #HealthKart #Gritzo,96730,3292,270,76,0
POST_0058,INF_115,YouTube,2025-03-23,https://youtube.com/post/58,Check out this amazing product! #HealthKart #HKVitals,132553,3822,381,94,0
POST_0059,INF_115,YouTube,2025-05-17,https://youtube.com/post/59,Check out this amazing product! #HealthKart #HKVitals,196009,4719,97,89,0
POST_0060,INF_035,Facebook,2025-06-01,https://facebook.com/post/60,Check out this amazing product! #HealthKart #Gritzo,20743,707,46,20,0
POST_0061,INF_020,YouTube,2025-02-11,https://youtube.com/post/61,Check out this amazing product! #HealthKart #Gritzo,38575,1306,70,61,0
POST_0062,INF_050,Facebook,2025-06-07,https://facebook.com/post/62,Check out this amazing product! #HealthKart #Gritzo,129349,4004,213,132,0
POST_0063,INF_068,Instagram,2025-07-20,https://instagram.com/post/63,Check out this amazing product! #HealthKart #MuscleBlaze,726149,30635,710,1130,2162
POST_0064,INF_044,Twitter,2025-05-18,https://twitter.com/post/64,Check out this amazing product! #HealthKart #MuscleBlaze,4365,187,18,4,0
POST_0065,INF_045,Instagram,2025-04-24,https://instagram.com/post/65,Check out this amazing product! #HealthKart #HKVitals,56791,2467,228,86,71
POST_0066,INF_046,Instagram,2025-05-18,https://instagram.com/post/66,Check out this amazing product! #HealthKart #HKVitals,38805,1331,31,15,63
POST_0067,INF_060,Instagram,2025-03-20,https://instagram.com/post/67,Check out this amazing product! #HealthKart #Gritzo,100183,4529,439,182,235
POST_0068,INF_002,Twitter,2025-06-05,https://twitter.com/post/68,Check out this amazing product! #HealthKart #MuscleBlaze,15378,761,44,21,0
POST_0069,INF_005,Facebook,2025-06-05,https://facebook.com/post/69,Check out this amazing product! #HealthKart #Gritzo,8354,448,14,7,0
POST_0070,INF_128,Twitter,2025-03-14,https://twitter.com/post/70,Check out this amazing product! #HealthKart #MuscleBlaze,247114,7224,239,235,0
POST_0071,INF_114,YouTube,2025-04-26,https://youtube.com/post/71,Check out this amazing product! #HealthKart #HKVitals,662407,20853,1255,994,0
POST_0072,INF_066,Facebook,2025-02-24,https://facebook.com/post/72,Check out this amazing product! #HealthKart #MuscleBlaze,1177,8,0,0,0
POST_0073,INF_011,Instagram,2025-05-13,https://instagram.com/post/73,Check out this amazing product! #HealthKart #Gritzo,79289,5876,581,261,430
POST_0074,INF_085,YouTube,2025-06-10,https://youtube.com/post/74,Check out this amazing product! #HealthKart #Gritzo,25339,1327,39,19,0
POST_0075,INF_130,YouTube,2025-04-20,https://youtube.com/post/75,Check out this amazing product! #HealthKart #MuscleBlaze,475181,12547,857,288,0
POST_0076,INF_140,Facebook,2025-02-26,https://facebook.com/post/76,Check out this amazing product! #HealthKart #MuscleBlaze,3782262,115105,6786,5546,0
POST_0077,INF_123,Twitter,2025-01-23,https://twitter.com/post/77,Check out this amazing product! #HealthKart #Gritzo,65149,325,25,12,0
POST_0078,INF_095,Facebook,2025-02-13,https://facebook.com/post/78,Check out this amazing product! #HealthKart #HKVitals,22558,1177,30,50,0
POST_0079,INF_059,YouTube,2025-03-25,https://youtube.com/post/79,Check out this amazing product! #HealthKart #HKVitals,86495,4335,423,160,0
POST_0080,INF_125,YouTube,2025-02-12,https://youtube.com/post/80,Check out this amazing product! #HealthKart #Gritzo,420154,13553,669,370,0
POST_0081,INF_127,Twitter,2025-04-18,https://twitter.com/post/81,Check out this amazing product! #HealthKart #Gritzo,7442,37,2,1,0
POST_0082,INF_068,Instagram,2025-04-19,https://instagram.com/post/82,Check out this amazing product! #HealthKart #Gritzo,639399,18248,1192,205,878
POST_0083,INF_054,Twitter,2025-03-18,https://twitter.com/post/83,Check out this amazing product! #HealthKart #MuscleBlaze,77033,879,36,32,0
POST_0084,INF_029,YouTube,2025-02-28,https://youtube.com/post/84,Check out this amazing product! #HealthKart #Gritzo,595551,33698,1009,1556,0
POST_0085,INF_109,Instagram,2025-06-26,https://instagram.com/post/85,Check out this amazing product! #HealthKart #MuscleBlaze,593096,7444,395,89,527
POST_0086,INF_122,Instagram,2025-02-28,https://instagram.com/post/86,Check out this amazing product! #HealthKart #HKVitals,202909,6421,579,263,369
POST_0087,INF_103,Facebook,2025-04-22,https://facebook.com/post/87,Check out this amazing product! #HealthKart #Gritzo,4557,45,4,1,0
POST_0088,INF_150,YouTube,2025-04-29,https://youtube.com/post/88,Check out this amazing product! #HealthKart #HKVitals,14434,386,12,12,0
POST_0089,INF_032,Facebook,2025-04-06,https://facebook.com/post/89,Check out this amazing product! #HealthKart #Gritzo,12011,234,9,3,0
POST_0090,INF_063,Twitter,2025-03-15,https://twitter.com/post/90,Check out this amazing product! #HealthKart #MuscleBlaze,272191,7294,233,100,0
POST_0091,INF_125,YouTube,2025-06-18,https://youtube.com/post/91,Check out this amazing product! #HealthKart #Gritzo,227218,10099,496,410,0
POST_0092,INF_002,Twitter,2025-03-01,https://twitter.com/post/92,Check out this amazing product! #HealthKart #MuscleBlaze,32645,1217,117,29,0
POST_0093,INF_048,YouTube,2025-06-02,https://youtube.com/post/93,Check out this amazing product! #HealthKart #MuscleBlaze,340254,4768,373,154,0
POST_0094,INF_030,Twitter,2025-05-17,https://twitter.com/post/94,Check out this amazing product! #HealthKart #Gritzo,324142,13013,1299,411,0
POST_0095,INF_133,YouTube,2025-03-31,https://youtube.com/post/95,Check out this amazing product! #HealthKart #Gritzo,114124,2475,58,91,0
POST_0096,INF_049,YouTube,2025-06-20,https://youtube.com/post/96,Check out this amazing product! #HealthKart #HKVitals,131787,6607,481,234,0
POST_0097,INF_041,Facebook,2025-07-08,https://facebook.com/post/97,Check out this amazing product! #HealthKart #HKVitals,2961,129,3,4,0
POST_0098,INF_057,Instagram,2025-04-09,https://instagram.com/post/98,Check out this amazing product! #HealthKart #HKVitals,12255,484,27,18,26
POST_0099,INF_083,YouTube,2025-05-30,https://youtube.com/post/99,Check out this amazing product! #HealthKart #Gritzo,67274,2416,193,44,0
POST_0100,INF_108,Twitter,2025-06-19,https://twitter.com/post/100,Check out this amazing product! #HealthKart #MuscleBlaze,30389,1497,84,16,0
POST_0101,INF_034,Instagram,2025-02-11,https://instagram.com/post/101,Check out this amazing product! #HealthKart #HKVitals,114055,5447,246,262,206
POST_0102,INF_131,Twitter,2025-02-05,https://twitter.com/post/102,Check out this amazing product! #HealthKart #MuscleBlaze,14848,803,68,17,0
POST_0103,INF_053,Instagram,2025-06-13,https://instagram.com/post/103,Check out this amazing product! #HealthKart #Gritzo,87209,1155,24,21,50
POST_0104,INF_132,Instagram,2025-03-13,https://instagram.com/post/104,Check out this amazing product! #HealthKart #HKVitals,1431172,56257,5155,2311,1638
POST_0105,INF_135,Instagram,2025-05-18,https://instagram.com/post/105,Check out this amazing product! #HealthKart #Gritzo,27547,1104,49,28,59
POST_0106,INF_035,Facebook,2025-03-22,https://facebook.com/post/106,Check out this amazing product! #HealthKart #Gritzo,43803,2149,84,60,0
POST_0107,INF_068,Instagram,2025-05-25,https://instagram.com/post/107,Check out this amazing product! #HealthKart #MuscleBlaze,579629,22365,503,502,1042
POST_0108,INF_149,Twitter,2025-03-01,https://twitter.com/post/108,Check out this amazing product! #HealthKart #HKVitals,56327,1730,114,72,0
POST_0109,INF_011,Instagram,2025-05-07,https://instagram.com/post/109,Check out this amazing product! #HealthKart #MuscleBlaze,141354,4914,250,92,314
POST_0110,INF_117,Twitter,2025-03-12,https://twitter.com/post/110,Check out this amazing product! #HealthKart #MuscleBlaze,583,20,1,0,0
POST_0111,INF_063,Twitter,2025-07-12,https://twitter.com/post/111,Check out this amazing product! #HealthKart #Gritzo,193187,5325,419,123,0
POST_0112,INF_082,Facebook,2025-01-28,https://facebook.com/post/112,Check out this amazing product! #HealthKart #HKVitals,27691,1057,52,14,0
POST_0113,INF_070,YouTube,2025-03-07,https://youtube.com/post/113,Check out this amazing product! #HealthKart #MuscleBlaze,103141,7263,720,77,0
POST_0114,INF_092,Instagram,2025-05-01,https://instagram.com/post/114,Check out this amazing product! #HealthKart #Gritzo,53353,3551,342,66,224
POST_0115,INF_111,YouTube,2025-02-22,https://youtube.com/post/115,Check out this amazing product! #HealthKart #Gritzo,25614,788,23,12,0
POST_0116,INF_092,Instagram,2025-04-20,https://instagram.com/post/116,Check out this amazing product! #HealthKart #MuscleBlaze,24157,1684,70,69,132
POST_0117,INF_039,Twitter,2025-06-18,https://twitter.com/post/117,Check out this amazing product! #HealthKart #Gritzo,32333,1111,93,54,0
POST_0118,INF_062,Facebook,2025-02-16,https://facebook.com/post/118,Check out this amazing product! #HealthKart #Gritzo,5162,148,11,1,0
POST_0119,INF_047,Instagram,2025-05-31,https://instagram.com/post/119,Check out this amazing product! #HealthKart #HKVitals,55003,1063,37,48,64
POST_0120,INF_021,Facebook,2025-06-20,https://facebook.com/post/120,Check out this amazing product! #HealthKart #MuscleBlaze,183679,6564,423,206,0
POST_0121,INF_104,Twitter,2025-04-23,https://twitter.com/post/121,Check out this amazing product! #HealthKart #HKVitals,193374,9923,978,292,0
POST_0122,INF_127,Twitter,2025-02-03,https://twitter.com/post/122,Check out this amazing product! #HealthKart #Gritzo,9946,49,3,0,0
POST_0123,INF_012,Instagram,2025-04-12,https://instagram.com/post/123,Check out this amazing product! #HealthKart #MuscleBlaze,188113,4452,139,153,282
POST_0124,INF_146,Twitter,2025-03-11,https://twitter.com/post/124,Check out this amazing product! #HealthKart #Gritzo,9090,336,10,5,0
POST_0125,INF_123,Twitter,2025-02-18,https://twitter.com/post/125,Check out this amazing product! #HealthKart #Gritzo,130870,654,49,15,0
POST_0126,INF_098,Twitter,2025-06-16,https://twitter.com/post/126,Check out this amazing product! #HealthKart #Gritzo,4027,171,5,5,0
POST_0127,INF_020,YouTube,2025-03-30,https://youtube.com/post/127,Check out this amazing product! #HealthKart #MuscleBlaze,8519,293,9,12,0
POST_0128,INF_126,Twitter,2025-06-27,https://twitter.com/post/128,Check out this amazing product! #HealthKart #HKVitals,435032,15645,553,164,0
POST_0129,INF_094,YouTube,2025-03-12,https://youtube.com/post/129,Check out this amazing product! #HealthKart #HKVitals,64243,2454,81,52,0
POST_0130,INF_043,Instagram,2025-05-09,https://instagram.com/post/130,Check out this amazing product! #HealthKart #Gritzo,42550,809,45,16,59
POST_0131,INF_085,YouTube,2025-01-27,https://youtube.com/post/131,Check out this amazing product! #HealthKart #HKVitals,21471,1353,53,24,0
POST_0132,INF_107,Instagram,2025-05-06,https://instagram.com/post/132,Check out this amazing product! #HealthKart #Gritzo,1402252,55803,4084,819,1169
POST_0133,INF_043,Instagram,2025-02-14,https://instagram.com/post/133,Check out this amazing product! #HealthKart #HKVitals,51985,1503,77,62,38
POST_0134,INF_076,YouTube,2025-02-27,https://youtube.com/post/134,Check out this amazing product! #HealthKart #HKVitals,93934,3139,143,53,0
POST_0135,INF_112,Twitter,2025-06-30,https://twitter.com/post/135,Check out this amazing product! #HealthKart #HKVitals,192644,7449,471,336,0
POST_0136,INF_102,Twitter,2025-04-22,https://twitter.com/post/136,Check out this amazing product! #HealthKart #Gritzo,44516,1651,164,67,0
POST_0137,INF_027,Twitter,2025-05-07,https://twitter.com/post/137,Check out this amazing product! #HealthKart #HKVitals,30534,2099,94,73,0
POST_0138,INF_117,Twitter,2025-06-13,https://twitter.com/post/138,Check out this amazing product! #HealthKart #Gritzo,556,19,1,0,0
POST_0139,INF_129,Facebook,2025-04-19,https://facebook.com/post/139,Check out this amazing product! #HealthKart #MuscleBlaze,141961,7826,503,241,0
POST_0140,INF_111,YouTube,2025-02-20,https://youtube.com/post/140,Check out this amazing product! #HealthKart #Gritzo,96148,3316,91,88,0
POST_0141,INF_149,Twitter,2025-04-20,https://twitter.com/post/141,Check out this amazing product! #HealthKart #Gritzo,96627,3492,295,86,0
POST_0142,INF_007,Facebook,2025-05-24,https://facebook.com/post/142,Check out this amazing product! #HealthKart #MuscleBlaze,24424,1151,32,25,0
POST_0143,INF_094,YouTube,2025-04-08,https://youtube.com/post/143,Check out this amazing product! #HealthKart #HKVitals,69630,1800,160,33,0
POST_0144,INF_019,Twitter,2025-02-19,https://twitter.com/post/144,Check out this amazing product! #HealthKart #MuscleBlaze,6507,227,16,2,0
POST_0145,INF_082,Facebook,2025-07-15,https://facebook.com/post/145,Check out this amazing product! #HealthKart #Gritzo,9048,240,9,2,0
POST_0146,INF_098,Twitter,2025-06-08,https://twitter.com/post/146,Check out this amazing product! #HealthKart #MuscleBlaze,909,44,3,0,0
POST_0147,INF_072,YouTube,2025-04-27,https://youtube.com/post/147,Check out this amazing product! #HealthKart #HKVitals,148700,3925,85,60,0
POST_0148,INF_099,Instagram,2025-05-14,https://instagram.com/post/148,Check out this amazing product! #HealthKart #MuscleBlaze,99187,4071,290,120,250
POST_0149,INF_113,YouTube,2025-05-18,https://youtube.com/post/149,Check out this amazing product! #HealthKart #MuscleBlaze,384186,14133,1407,300,0
POST_0150,INF_143,YouTube,2025-02-03,https://youtube.com/post/150,Check out this amazing product! #HealthKart #Gritzo,2035398,91998,8032,2731,0
POST_0151,INF_084,Instagram,2025-04-07,https://instagram.com/post/151,Check out this amazing product! #HealthKart #HKVitals,88956,3188,211,90,67
POST_0152,INF_129,Facebook,2025-06-23,https://facebook.com/post/152,Check out this amazing product! #HealthKart #MuscleBlaze,91070,4227,372,47,0
POST_0153,INF_032,Facebook,2025-02-23,https://facebook.com/post/153,Check out this amazing product! #HealthKart #HKVitals,3716,58,1,2,0
POST_0154,INF_075,YouTube,2025-04-20,https://youtube.com/post/154,Check out this amazing product! #HealthKart #MuscleBlaze,43856,1503,128,58,0
POST_0155,INF_103,Facebook,2025-04-02,https://facebook.com/post/155,Check out this amazing product! #HealthKart #MuscleBlaze,8019,40,2,0,0
POST_0156,INF_023,Instagram,2025-02-07,https://instagram.com/post/156,Check out this amazing product! #HealthKart #Gritzo,1790403,54825,3798,2531,4088
POST_0157,INF_065,Facebook,2025-02-09,https://facebook.com/post/157,Check out this amazing product! #HealthKart #MuscleBlaze,67295,2912,214,143,0
POST_0158,INF_122,Instagram,2025-07-08,https://instagram.com/post/158,Check out this amazing product! #HealthKart #MuscleBlaze,358699,4965,155,217,160
POST_0159,INF_148,Instagram,2025-02-19,https://instagram.com/post/159,Check out this amazing product! #HealthKart #MuscleBlaze,54960,1045,48,50,32
POST_0160,INF_053,Instagram,2025-05-03,https://instagram.com/post/160,Check out this amazing product! #HealthKart #HKVitals,50710,672,23,9,49
POST_0161,INF_069,Facebook,2025-01-23,https://facebook.com/post/161,Check out this amazing product! #HealthKart #HKVitals,13301,498,44,24,0
POST_0162,INF_111,YouTube,2025-07-20,https://youtube.com/post/162,Check out this amazing product! #HealthKart #Gritzo,68067,2388,175,34,0
POST_0163,INF_054,Twitter,2025-07-04,https://twitter.com/post/163,Check out this amazing product! #HealthKart #HKVitals,52654,799,70,21,0
POST_0164,INF_139,Twitter,2025-04-09,https://twitter.com/post/164,Check out this amazing product! #HealthKart #MuscleBlaze,6157,249,13,4,0
POST_0165,INF_016,Twitter,2025-04-08,https://twitter.com/post/165,Check out this amazing product! #HealthKart #Gritzo,1878,63,3,2,0
POST_0166,INF_084,Instagram,2025-03-25,https://instagram.com/post/166,Check out this amazing product! #HealthKart #Gritzo,91464,2993,182,38,88
POST_0167,INF_126,Twitter,2025-05-23,https://twitter.com/post/167,Check out this amazing product! #HealthKart #MuscleBlaze,174801,4998,197,70,0
POST_0168,INF_127,Twitter,2025-05-13,https://twitter.com/post/168,Check out this amazing product! #HealthKart #MuscleBlaze,2416,12,0,0,0
POST_0169,INF_020,YouTube,2025-07-10,https://youtube.com/post/169,Check out this amazing product! #HealthKart #MuscleBlaze,45056,1968,110,47,0
POST_0170,INF_038,Instagram,2025-04-10,https://instagram.com/post/170,Check out this amazing product! #HealthKart #MuscleBlaze,100263,2185,103,85,168
POST_0171,INF_111,YouTube,2025-02-25,https://youtube.com/post/171,Check out this amazing product! #HealthKart #HKVitals,85861,2511,88,103,0
POST_0172,INF_004,Facebook,2025-05-16,https://facebook.com/post/172,Check out this amazing product! #HealthKart #Gritzo,27498,849,26,33,0
POST_0173,INF_032,Facebook,2025-02-05,https://facebook.com/post/173,Check out this amazing product! #HealthKart #Gritzo,3051,91,2,3,0
POST_0174,INF_071,Instagram,2025-05-05,https://instagram.com/post/174,Check out this amazing product! #HealthKart #MuscleBlaze,251447,12812,680,149,309
POST_0175,INF_125,YouTube,2025-05-21,https://youtube.com/post/175,Check out this amazing product! #HealthKart #Gritzo,79173,3895,323,39,0
POST_0176,INF_053,Instagram,2025-01-30,https://instagram.com/post/176,Check out this amazing product! #HealthKart #HKVitals,28901,842,66,13,26
POST_0177,INF_018,Facebook,2025-05-31,https://facebook.com/post/177,Check out this amazing product! #HealthKart #HKVitals,1233,49,1,1,0
POST_0178,INF_023,Instagram,2025-05-28,https://instagram.com/post/178,Check out this amazing product! #HealthKart #HKVitals,1091017,39339,1383,504,1192
POST_0179,INF_088,YouTube,2025-04-23,https://youtube.com/post/179,Check out this amazing product! #HealthKart #Gritzo,82301,3991,342,134,0
POST_0180,INF_068,Instagram,2025-02-17,https://instagram.com/post/180,Check out this amazing product! #HealthKart #HKVitals,603250,20568,755,730,1258
POST_0181,INF_039,Twitter,2025-01-22,https://twitter.com/post/181,Check out this amazing product! #HealthKart #Gritzo,59629,3432,262,118,0
POST_0182,INF_144,Facebook,2025-04-24,https://facebook.com/post/182,Check out this amazing product! #HealthKart #HKVitals,68049,1187,86,19,0
POST_0183,INF_008,Facebook,2025-04-10,https://facebook.com/post/183,Check out this amazing product! #HealthKart #HKVitals,63987,1812,63,78,0
POST_0184,INF_115,YouTube,2025-03-04,https://youtube.com/post/184,Check out this amazing product! #HealthKart #Gritzo,90989,454,24,7,0
POST_0185,INF_086,Twitter,2025-04-04,https://twitter.com/post/185,Check out this amazing product! #HealthKart #MuscleBlaze,353050,7740,595,353,0
POST_0186,INF_028,Twitter,2025-05-01,https://twitter.com/post/186,Check out this amazing product! #HealthKart #Gritzo,7276,363,24,13,0
POST_0187,INF_104,Twitter,2025-05-07,https://twitter.com/post/187,Check out this amazing product! #HealthKart #MuscleBlaze,218127,7886,310,372,0
POST_0188,INF_038,Instagram,2025-06-19,https://instagram.com/post/188,Check out this amazing product! #HealthKart #HKVitals,151087,1254,105,37,64
POST_0189,INF_096,Facebook,2025-06-12,https://facebook.com/post/189,Check out this amazing product! #HealthKart #HKVitals,83349,1094,95,52,0
POST_0190,INF_014,Twitter,2025-05-01,https://twitter.com/post/190,Check out this amazing product! #HealthKart #MuscleBlaze,47856,1820,152,31,0
POST_0191,INF_007,Facebook,2025-02-22,https://facebook.com/post/191,Check out this amazing product! #HealthKart #Gritzo,39264,1901,92,20,0
POST_0192,INF_038,Instagram,2025-03-22,https://instagram.com/post/192,Check out this amazing product! #HealthKart #HKVitals,112451,562,49,14,34
POST_0193,INF_105,YouTube,2025-02-10,https://youtube.com/post/193,Check out this amazing product! #HealthKart #MuscleBlaze,32240,656,51,25,0
POST_0194,INF_041,Facebook,2025-03-29,https://facebook.com/post/194,Check out this amazing product! #HealthKart #MuscleBlaze,5367,216,12,5,0
POST_0195,INF_069,Facebook,2025-06-02,https://facebook.com/post/195,Check out this amazing product! #HealthKart #HKVitals,12768,536,29,20,0
POST_0196,INF_117,Twitter,2025-02-03,https://twitter.com/post/196,Check out this amazing product! #HealthKart #Gritzo,632,12,0,0,0
POST_0197,INF_100,Facebook,2025-03-03,https://facebook.com/post/197,Check out this amazing product! #HealthKart #Gritzo,9732,236,14,9,0
POST_0198,INF_145,Facebook,2025-03-03,https://facebook.com/post/198,Check out this amazing product! #HealthKart #Gritzo,81229,5288,471,188,0
POST_0199,INF_104,Twitter,2025-06-01,https://twitter.com/post/199,Check out this amazing product! #HealthKart #Gritzo,93763,4022,96,46,0
